,Stock,Year,Total Returns,Annualized Returns,Max Drawdown,Sharpe Ratio,Win/Loss Ratio,Number of Trades
41,INFY.NS,2020,0.4157319946289062,0.37019705860776947,-0.10518594360351563,1.866212947664357,0.4044943820224719,3.0
42,INFY.NS,2021,0.4512110595703125,0.4045621356177135,-0.11715260986537912,1.8298611289918918,0.75177304964539,3.0
43,INFY.NS,2022,-0.03128796386718746,-0.03158637827026574,-0.042040161132812504,-0.7724477654083823,0.02066115702479339,1.0
44,INFY.NS,2023,0.09867846679687498,0.11190239623094969,-0.13102581073062403,0.6483007518920294,0.18446601941747573,3.0
45,ITC.NS,2019,-0.025689285278320262,-0.02683715143868581,-0.028768206842818556,-1.1739388245100224,0.14691943127962084,4.0
46,ITC.NS,2020,-0.031432449340820345,-0.03201366775422748,-0.043054471190186794,-1.7045350319331036,0.1210762331838565,3.0
47,ITC.NS,2021,-0.003537078857421827,-0.002694075947909343,-0.044119895914028984,-0.06278992756758142,0.3954802259887006,5.0
48,ITC.NS,2022,0.08954627990722663,0.08865412454132073,-0.028835691837890698,1.8551549964348721,0.8161764705882353,1.0
49,ITC.NS,2023,0.0823322448730468,0.08347235493448324,-0.05580446914289605,1.4121535914049328,0.7553956834532374,1.0
50,KOTAKBANK.NS,2019,0.4148303222656251,0.3917648460793231,-0.10062803433630119,1.5858357509903314,0.7410071942446043,1.0
51,KOTAKBANK.NS,2020,0.31918566894531253,0.2921579603588368,-0.08838527216809666,1.8250806571076181,0.12612612612612611,1.0
52,KOTAKBANK.NS,2021,-0.19435961914062505,-0.17533725616732052,-0.38804971359506024,-0.5832873232146655,0.11764705882352941,1.0
53,KOTAKBANK.NS,2022,-0.08604492187500001,-0.0719469563423124,-0.19561646222325468,-0.36011908380013,0.14351851851851852,3.0
54,KOTAKBANK.NS,2023,-0.200568603515625,-0.20750119329654027,-0.2478752363145741,-0.9627488795635872,0.23232323232323232,2.0
55,LT.NS,2019,-0.13056884765625,-0.1211774386490662,-0.318961012858731,-0.545991172939518,0.35195530726256985,4.0
56,LT.NS,2020,0.14875561523437497,0.14349649355375316,-0.039137216235504035,1.6673142458502204,0.07758620689655173,1.0
57,LT.NS,2021,0.26797033691406225,0.2800884491289652,-0.1455469970703125,1.0171185233901,0.4879518072289157,3.0
58,LT.NS,2022,0.14255493164062538,0.15759821059358542,-0.1643295487933356,0.7561213036424878,0.1932367149758454,1.0
59,LT.NS,2023,1.36297216796875,0.9380566138335634,-0.16242120368244772,3.0089026032250343,0.9365079365079365,1.0
60,MARUTI.NS,2019,-0.18493115234375002,0.2459601570826365,-0.6709087315733382,0.24784995814926716,0.07555555555555556,1.0
61,MARUTI.NS,2020,1.0363237304687498,1.0809422152373946,-0.5611797219207186,1.2531058596696576,0.3020833333333333,1.0
